paper_title,first_author_year,antibody_name,antibody_type,manufacturer,catalog_number,labeling_stage,dilution
Expansion microscopy of the chick embryo neural tube to overcome molecular crowding at the centrosomes-cilia,Wilmerding 2023,Alexa Fluor 555 donkey anti-rabbit IgG (H+L),secondary,Thermo Fisher Scientific,A-31572,pre-expansion,1:500
Expansion microscopy of the chick embryo neural tube to overcome molecular crowding at the centrosomes-cilia,Wilmerding 2023,Alexa Fluor 555 donkey anti-mouse IgG (H+L),secondary,Thermo Fisher Scientific,A-31570,pre-expansion,1:500
Expansion microscopy of the chick embryo neural tube to overcome molecular crowding at the centrosomes-cilia,Wilmerding 2023,Alexa Fluor 568 donkey anti-mouse IgG (H+L),secondary,Thermo Fisher Scientific,A-11004,pre-expansion,1:500
Expansion microscopy of the chick embryo neural tube to overcome molecular crowding at the centrosomes-cilia,Wilmerding 2023,Alexa Fluor Atto647N donkey anti-mouse IgG (H+L),secondary,Sigma-Aldrich,MFCD06798562,pre-expansion,1:100
Visualization of the membrane surface and cytoskeleton of oligodendrocyte progenitor cell growth cones using a combination of scanning ion conductance and four times expansion microscopy,Haak 2023,mouse anti-β-tubulin,primary,Proteintech,66240-1-Ig,pre-expansion,1:1000
Visualization of the membrane surface and cytoskeleton of oligodendrocyte progenitor cell growth cones using a combination of scanning ion conductance and four times expansion microscopy,Haak 2023,rabbit anti-β-actin,primary,Proteintech,20536-1-AP,pre-expansion,1:1000
Visualization of the membrane surface and cytoskeleton of oligodendrocyte progenitor cell growth cones using a combination of scanning ion conductance and four times expansion microscopy,Haak 2023,AlexaFluor488 goat anti-mouse IgG,secondary,Invitrogen,A11001,pre-expansion,1:250
Visualization of the membrane surface and cytoskeleton of oligodendrocyte progenitor cell growth cones using a combination of scanning ion conductance and four times expansion microscopy,Haak 2023,AlexaFluor594 goat anti-rabbit IgG,secondary,Invitrogen,A11012,pre-expansion,1:250
Expansion microscopy with carboxylic trifunctional linkers,Chen 2022,T6199,primary,Sigma-Aldrich,T6199,pre-expansion,1:1000
Expansion microscopy with carboxylic trifunctional linkers,Chen 2022,DNP-TL-labeled secondary antibodies (modified from M8642),secondary,Sigma-Aldrich,M8642 (modified),pre-expansion,1:200
Expansion microscopy with carboxylic trifunctional linkers,Chen 2022,anti-DNP primary antibodies,primary,ThermoFisher,04-8300,post-expansion,1:200
Expansion microscopy with carboxylic trifunctional linkers,Chen 2022,fluorescently-conjugated secondary antibodies,secondary,ThermoFisher,A48272,post-expansion,1:500
Expansion microscopy with carboxylic trifunctional linkers,Chen 2022,DIG-TL-labeled secondary antibodies (modified from M8642),secondary,Sigma-Aldrich,M8642 (modified),pre-expansion,1:200
Expansion microscopy with carboxylic trifunctional linkers,Chen 2022,DIG-TL-modified secondary antibodies (modified from R2004),secondary,Sigma-Aldrich,R2004 (modified),pre-expansion,1:200
Expansion microscopy with trypsin digestion and tyramide signal amplification (TT-ExM) for protein and lipid staining,Wang 2023,Cytochrome c oxidase subunit 5B (COX5B) rabbit polyclonal antibody,primary,Proteintech,11418-2-AP,pre-expansion,3-6 µg/ml
Expansion microscopy with trypsin digestion and tyramide signal amplification (TT-ExM) for protein and lipid staining,Wang 2023,Protein disulfide isomerase (PDI) rabbit polyclonal antibody,primary,Proteintech,11245-1-AP,pre-expansion,1-2 µg/ml
Expansion microscopy with trypsin digestion and tyramide signal amplification (TT-ExM) for protein and lipid staining,Wang 2023,Beta-tubulin mouse monoclonal antibody,primary,Sigma-Aldrich,T4026,pre-expansion,6 µg/ml
Expansion microscopy with trypsin digestion and tyramide signal amplification (TT-ExM) for protein and lipid staining,Wang 2023,Horseradish peroxidase (HRP)-conjugated anti-rabbit IgG,secondary,Jackson ImmunoResearch Laboratory,711-035-152,pre-expansion,1:500
Expansion microscopy with trypsin digestion and tyramide signal amplification (TT-ExM) for protein and lipid staining,Wang 2023,Alexa fluor-488-conjugated anti-mouse IgG,secondary,ThermoFisher,A28175,pre-expansion,1:500
Expansion microscopy with trypsin digestion and tyramide signal amplification (TT-ExM) for protein and lipid staining,Wang 2023,Alexa fluor-555-conjugated anti-rabbit IgG,secondary,ThermoFisher,A32732,pre-expansion,1:500
Expansion microscopy reveals unique ultrastructural features of pathogenic budding yeast species,Reza 2024,anti-Nop1 (Anti-Fibrillarin antibody [38F3] - Nucleolar Marker (ab4566)),primary,Abcam,ab4566,post-expansion,1:500
Expansion microscopy reveals unique ultrastructural features of pathogenic budding yeast species,Reza 2024,"anti-GFP (mouse) (Roche, 11814460001)",primary,Roche,11814460001,post-expansion,1:500
Expansion microscopy reveals unique ultrastructural features of pathogenic budding yeast species,Reza 2024,Alexa Fluor 488 goat anti-mouse IgG,secondary,Invitrogen,A11001,post-expansion,1:500
One step 4x and 12x 3D-ExM: robust super-resolution microscopy in cell biology,Norman 2024,mouse anti-Plk1 antibody,primary,Santa Cruz Biotech,sc17783,pre-expansion,1:100
One step 4x and 12x 3D-ExM: robust super-resolution microscopy in cell biology,Norman 2024,mouse anti-alpha Tubulin antibody (DM1a),primary,Sigma,T6199,pre-expansion,1:200
One step 4x and 12x 3D-ExM: robust super-resolution microscopy in cell biology,Norman 2024,mouse anti-Nup107 antibody,primary,Abcam,ab24609,pre-expansion,1:500
One step 4x and 12x 3D-ExM: robust super-resolution microscopy in cell biology,Norman 2024,rabbit anti-Elys,primary,SinoBiological,205696-T10,pre-expansion,1:100
One step 4x and 12x 3D-ExM: robust super-resolution microscopy in cell biology,Norman 2024,anti-gp350 antibody,primary,SinoBiological,40373,pre-expansion,1:100
One step 4x and 12x 3D-ExM: robust super-resolution microscopy in cell biology,Norman 2024,mouse monoclonal Gag antibody (183-H12-5C),primary,NIH AIDS Reagent Program / Bruce Chesebro,183-H12-5C,pre-expansion,1:1000
One step 4x and 12x 3D-ExM: robust super-resolution microscopy in cell biology,Norman 2024,Rat anti-mouse IgG2a - biotin,secondary,Fisher,13-4210-80,pre-expansion,1:100
One step 4x and 12x 3D-ExM: robust super-resolution microscopy in cell biology,Norman 2024,Rat anti-mouse IgG1 - biotin,secondary,Fisher,13-4015-80,pre-expansion,1:100
One step 4x and 12x 3D-ExM: robust super-resolution microscopy in cell biology,Norman 2024,"Goat anti-Mouse IgG (H+L) Cross-Adsorbed Secondary Antibody, Alexa Fluor 594",secondary,Thermo Fisher Scientific,A-11005,pre-expansion,1:100
One step 4x and 12x 3D-ExM: robust super-resolution microscopy in cell biology,Norman 2024,"Donkey anti-Goat IgG (H+L) Cross-Adsorbed Secondary Antibody, Alexa Fluor 594",secondary,Thermo Fisher Scientific,A-11058,pre-expansion,1:100
Uniform distribution of photosystems in dark-adapted Synechocystis cells,Bos 2025,rabbit polyclonal anti-PsbA,primary,Agrisera AB,AS05 084,post-expansion,1:200
Uniform distribution of photosystems in dark-adapted Synechocystis cells,Bos 2025,rabbit polyclonal anti-PsaC,primary,Agrisera AB,AS10 939,post-expansion,1:200
Uniform distribution of photosystems in dark-adapted Synechocystis cells,Bos 2025,Rabbit anti C-Phycocyanin (AbBy Fluor® 594),primary,Antibody-online,ABIN2802262,post-expansion,1:50
Uniform distribution of photosystems in dark-adapted Synechocystis cells,Bos 2025,"Goat anti-Rabbit IgG (H+L) Cross-Adsorbed Secondary Antibody, Alexa Fluor 488",secondary,ThermoFisher,AB_143165,post-expansion,
Uniform distribution of photosystems in dark-adapted Synechocystis cells,Bos 2025,"Nano-Secondary® anti-rabbit IgG, recombinant VHH, Alexa Fluor 488 (CTK0102)",secondary,ChromoTek GmbH,CTK0102,post-expansion,
Expansion microscopy in honeybee brains for high-resolution neuroanatomical analyses in social insects,Kraft 2023,rabbit anti-GABA,primary,Sigma-Aldrich,A2052,pre-expansion,1:1000
Expansion microscopy in honeybee brains for high-resolution neuroanatomical analyses in social insects,Kraft 2023,CF488A goat anti-mouse IgG,secondary,Biotium,20018,pre-expansion,1:250
Expansion microscopy in honeybee brains for high-resolution neuroanatomical analyses in social insects,Kraft 2023,Alexa Fluor 568 goat anti-rabbit IgG,secondary,Invitrogen by Thermo Fisher Scientific,A-11011,pre-expansion,1:250
Expansion microscopy in honeybee brains for high-resolution neuroanatomical analyses in social insects,Kraft 2023,CF633 goat anti-mouse IgG,secondary,Biotium,20121,pre-expansion,1:250
Expansion microscopy in honeybee brains for high-resolution neuroanatomical analyses in social insects,Kraft 2023,rabbit anti-GABA,primary,Sigma-Aldrich,A2052,post-expansion,1:1000
Expansion microscopy in honeybee brains for high-resolution neuroanatomical analyses in social insects,Kraft 2023,CF488A goat anti-mouse IgG,secondary,Biotium,20018,post-expansion,1:250
Expansion microscopy in honeybee brains for high-resolution neuroanatomical analyses in social insects,Kraft 2023,Alexa Fluor 568 goat anti-rabbit IgG,secondary,Invitrogen by Thermo Fisher Scientific,A-11011,post-expansion,1:250
Expansion microscopy in honeybee brains for high-resolution neuroanatomical analyses in social insects,Kraft 2023,CF633 goat anti-mouse IgG,secondary,Biotium,20121,post-expansion,1:250
Expansion Microscopy of Lipid Membranes,Karagiannis 2019,anti-Calnexin (primary),primary,Abcam,ab22595,post-expansion,10 μg/mL
Expansion Microscopy of Lipid Membranes,Karagiannis 2019,anti-Tom20 (primary),primary,Cell Signaling Technology,42406S,post-expansion,10 μg/mL
Expansion Microscopy of Lipid Membranes,Karagiannis 2019,anti-NUP98 (primary),primary,Cell Signaling Technology,2597S,post-expansion,10 μg/mL
Expansion Microscopy of Lipid Membranes,Karagiannis 2019,anti-Giantin (primary),primary,BioLegend,924302,post-expansion,10 μg/mL
Expansion Microscopy of Lipid Membranes,Karagiannis 2019,anti-Myelin Basic Protein (MBP) (primary),primary,Cell Signaling Technology,78896S,post-expansion,10 μg/mL
Expansion Microscopy of Lipid Membranes,Karagiannis 2019,anti-Chicken Alexa Fluor Plus 488 (secondary),secondary,Thermo Fisher Scientific,A32931,post-expansion,10 μg/mL
Expansion Microscopy of Lipid Membranes,Karagiannis 2019,anti-Rabbit Alexa Fluor Plus 488 (secondary),secondary,Thermo Fisher Scientific,A32731,post-expansion,10 μg/mL
Expansion Microscopy of Lipid Membranes,Karagiannis 2019,anti-Mouse Alexa Fluor Plus 647 (secondary),secondary,Thermo Fisher Scientific,A32728,post-expansion,10 μg/mL
Super-resolution Analysis of Astrocyte Morphology Using Expansion Microscopy,,Rabbit anti-S100 beta antibody (EP1576Y),primary,Abcam,EP1576Y,pre-expansion,1:300
A practical guide to optimization in X10 expansion microscopy,Truckenbrodt 2019,anti-synaptophysin,primary,Synaptic Systems,101 004,pre-expansion,1:500 (from 1 mg/ml stock)
A practical guide to optimization in X10 expansion microscopy,Truckenbrodt 2019,anti-Bassoon,primary,Enzo,SAP7F407,pre-expansion,1:100 (from 1 mg/ml stock)
A practical guide to optimization in X10 expansion microscopy,Truckenbrodt 2019,anti-Homer 1,primary,Synaptic Systems,160 003,pre-expansion,1:100 (from 1 mg/ml stock)
A practical guide to optimization in X10 expansion microscopy,Truckenbrodt 2019,donkey anti–guinea pig IgG conjugated to Alexa Fluor 488,secondary,Dianova,706–545–148,pre-expansion,1:100 (from 0.6 mg/ml stock)
A practical guide to optimization in X10 expansion microscopy,Truckenbrodt 2019,goat anti-rabbit IgG conjugated to Alexa Fluor 546,secondary,Thermo Fisher Scientific,A-11035,pre-expansion,1:100 (from 0.6 mg/ml stock)
A practical guide to optimization in X10 expansion microscopy,Truckenbrodt 2019,donkey anti-mouse IgG conjugated to CF633,secondary,Biotium,20124,pre-expansion,1:100 (from 0.6 mg/ml stock)
MicroMagnify: A Multiplexed Expansion Microscopy Method for Pathogens and Infected Tissues,Cheng 2023,rabbit polyclonal anti-α-tubulin,primary,Proteintech,11224-1-AP,post-expansion,1:200
MicroMagnify: A Multiplexed Expansion Microscopy Method for Pathogens and Infected Tissues,Cheng 2023,chicken polyclonal anti-vimentin,primary,Abcam,ab24525,post-expansion,1:200
MicroMagnify: A Multiplexed Expansion Microscopy Method for Pathogens and Infected Tissues,Cheng 2023,Chicken polyclonal anti-GFP,primary,Abcam,ab13970,post-expansion,1:200
MicroMagnify: A Multiplexed Expansion Microscopy Method for Pathogens and Infected Tissues,Cheng 2023,rabbit polyclonal anti-NEDD4,primary,Invitrogen,PA5-17463,post-expansion,1:200
MicroMagnify: A Multiplexed Expansion Microscopy Method for Pathogens and Infected Tissues,Cheng 2023,mouse monoclonal anti-human polyoma virus JCV capsid protein VP1,primary,Abcam,ab34756,post-expansion,1:200
MicroMagnify: A Multiplexed Expansion Microscopy Method for Pathogens and Infected Tissues,Cheng 2023,mouse monoclonal anti-CD63,primary,Abcam,ab8219,post-expansion,1:200
MicroMagnify: A Multiplexed Expansion Microscopy Method for Pathogens and Infected Tissues,Cheng 2023,Donkey Anti-Mouse IgG (H+L) CF647,secondary,Biotium,20177,post-expansion,1:500
MicroMagnify: A Multiplexed Expansion Microscopy Method for Pathogens and Infected Tissues,Cheng 2023,Goat anti-Chicken IgY (H+L) Alexa Fluor 488,secondary,Invitrogen,A11039,post-expansion,1:500
MicroMagnify: A Multiplexed Expansion Microscopy Method for Pathogens and Infected Tissues,Cheng 2023,F(ab')2-Goat anti-Rabbit IgG (H+L) Alexa Fluor 546,secondary,Invitrogen,A11071,post-expansion,1:500
An In-depth Guide to the Ultrastructural Expansion Microscopy (U-ExM) of Chlamydomonas reinhardtii,Klena 2023,α-tubulin antibody,primary,ABCD Antibodies,AA345,post-expansion,
An In-depth Guide to the Ultrastructural Expansion Microscopy (U-ExM) of Chlamydomonas reinhardtii,Klena 2023,β-tubulin antibody,primary,ABCD Antibodies,AA344,post-expansion,
An In-depth Guide to the Ultrastructural Expansion Microscopy (U-ExM) of Chlamydomonas reinhardtii,Klena 2023,SNAP-tag antibody,primary,New England Biolabs,P9310S,post-expansion,1:100
An In-depth Guide to the Ultrastructural Expansion Microscopy (U-ExM) of Chlamydomonas reinhardtii,Klena 2023,PsbA antibody,primary,Agrisera,AS06 143,post-expansion,
An In-depth Guide to the Ultrastructural Expansion Microscopy (U-ExM) of Chlamydomonas reinhardtii,Klena 2023,Centrin antibody clone 20H5,primary,Millipore,04-1624,post-expansion,
An In-depth Guide to the Ultrastructural Expansion Microscopy (U-ExM) of Chlamydomonas reinhardtii,Klena 2023,GFP antibody (rabbit),primary,Torrey Pines,TP401,post-expansion,1:200
An In-depth Guide to the Ultrastructural Expansion Microscopy (U-ExM) of Chlamydomonas reinhardtii,Klena 2023,YFP antibody (rabbit),primary,Torrey Pines,TP401,post-expansion,1:200
An In-depth Guide to the Ultrastructural Expansion Microscopy (U-ExM) of Chlamydomonas reinhardtii,Klena 2023,mNeonGreen antibody (mNeongreen),primary,Chromotek,32F6,post-expansion,Non compatible
An In-depth Guide to the Ultrastructural Expansion Microscopy (U-ExM) of Chlamydomonas reinhardtii,Klena 2023,HA antibody,primary,Sigma-Aldrich,H6908,post-expansion,1:100
An In-depth Guide to the Ultrastructural Expansion Microscopy (U-ExM) of Chlamydomonas reinhardtii,Klena 2023,HRV3C antibody,primary,Thermo Fisher,PA1-118,post-expansion,1:150
Expansion Microscopy of Synaptic Contacts on the Mauthner Cells of Larval Zebrafish,Ijaz 2024,Mouse IgG1 anti-Cx35/36 (monoclonal),primary,Millipore Sigma,MAB3045,pre-expansion,1:250
Expansion Microscopy of Synaptic Contacts on the Mauthner Cells of Larval Zebrafish,Ijaz 2024,Mouse IgG1 anti-ZO1 (monoclonal),primary,Invitrogen,33-9100,pre-expansion,1:200
Expansion Microscopy of Synaptic Contacts on the Mauthner Cells of Larval Zebrafish,Ijaz 2024,Mouse IgG1 anti-N-cadherin (monoclonal),primary,BD Transduction Laboratories,610920,pre-expansion,1:50
Expansion Microscopy of Synaptic Contacts on the Mauthner Cells of Larval Zebrafish,Ijaz 2024,Mouse IgG1 anti-Beta-catenin (monoclonal),primary,Sigma,C7207,pre-expansion,1:100
Expansion Microscopy of Synaptic Contacts on the Mauthner Cells of Larval Zebrafish,Ijaz 2024,Chicken IgY anti-GFP (polyclonal),primary,Abcam,ab13970,pre-expansion,1:200
Expansion Microscopy of Synaptic Contacts on the Mauthner Cells of Larval Zebrafish,Ijaz 2024,Rabbit IgG anti-GluR2/3 (polyclonal),primary,EMD Millipore,07-598,pre-expansion,1:200
Expansion Microscopy of Synaptic Contacts on the Mauthner Cells of Larval Zebrafish,Ijaz 2024,Mouse IgG Alexa Fluor 546 (polyclonal),secondary,Invitrogen,A11030,pre-expansion,1:200
